title,abstract,content,time
Cuộc trùng phùng với người con nuôi hơn 40 năm thất lạc của NSND Kim Cương,"TTO - Tối 1-3, chương trình Như chưa hề có cuộc chia ly số 139 có chủ đề 'Tình nhân loại, nghĩa đồng bào' đã gây xúc động mạnh với cuộc trùng phùng của nghệ sĩ Kim Cương và cô con gái nuôi thất lạc ròng rã hơn bốn chục năm trời.","Khoảng vài ngày trước 30-4-1975, ven xa lộ Biên Hòa, cả  trăm ngàn người chạy tản cư về Sài Gòn bị chặn lại ở cửa ngõ thành phố. Khung cảnh rất rối ren và hỗn loạn.NSND Kim Cương khi ấy cùng nhóm thiện nguyện Gia đình tình thương của mình với mấy chục sinh viên đã chạy đôn chạy đáo xin quần áo, gạo, bánh mì, nước… để tiếp tế, hỗ trợ cho bà con.Trong đó có một người phụ nữ một nách 6 đứa con thơ lại còn mang bụng chửa vượt mặt. Bà đã sanh con trong điều kiện tạm bợ, thiếu thốn. Vì vậy, nghệ sĩ Kim Cương đã đưa đứa nhỏ về chăm phụ, đồng thời để lại tờ giấy địa chỉ bảo kiếm Kim Cương để người phụ nữ kia có thể nhận lại con khi tình hình tạm ổn.Vậy rồi, hơn một năm trôi qua người phụ nữ ấy vẫn bặt tăm. Kim Cương lúc đó cũng mới sanh cậu con trai Tô Rô hơn một tuổi. Phần vì con nhỏ, phần vì đoàn Kim Cương mới hoạt động lại theo điều động của nhà nước nên Kim Cương thật sự vất vả khi phải chăm thêm bé Thương Thương, cô con gái nuôi mà bà đặt tên với hàm ý em được nhận nuôi xuất phát từ tình thương và sẽ nhận nhiều thật nhiều tình yêu thương của mọi người.Chừng gần 2 tuổi, Thương Thương bị bệnh phải đưa vào Bệnh viện Nguyễn Văn Học (Bệnh viện Nhân dân Gia Định bây giờ). Trong đó, có một cô y tá rất cưng Thương Thương và ngỏ lời với Kim Cương: ""Chị bận quá giao Thương Thương em nuôi cho, mỗi tháng chị phụ tiền sữa"".Thấy cô y tá tốt bụng, lại hiền lành nên Kim Cương đồng ý. Nhưng không ngờ thời gian sau cô đã bồng Thương Thương đi mất. Mấy chục năm trôi qua, kỳ nữ của làng kịch vẫn canh cánh bên lòng hình bóng đứa con nuôi bị thất lạc. Vào tháng 12-2019, bà liên lạc với Như chưa hề có cuộc chia ly để tìm kiếm Thương Thương.Câu chuyện tìm con càng kịch tính hơn khi hơn một năm trước, Kim Cương nhập viện vì bị nhồi máu cơ tim, bỗng một cô gái xuất hiện nhận mình là Thương Thương và đưa cả tấm ảnh người y tá năm xưa mà mới nhìn Kim Cương đã nhận ra ngay.Niềm vui chưa được bao lâu thì cô gái hỏi chuyện tiền nong và khi không đạt được nguyện vọng thì bỏ đi mất biệt. Đã một lần mừng hụt nên trong cuộc gặp gỡ tối 1-3 với nghệ sĩ Kim Cương cảm xúc hồi hộp, lo ngại cứ đan xen nhau. Bà nói: ""Tôi lên tivi nhiều lần nhưng lần này tôi run quá. Tối qua tới 3h khuya vẫn chưa ngủ được, nôn nao không biết con giờ ra sao?"".Êkip Như chưa hề có cuộc chia ly đã cất công tìm kiếm để rồi phát hiện ra cô gái tự nhận Thương Thương trước đó là giả mạo và có mối quan hệ khá gần gũi với cô bé Thương Thương thật.Và cô y tá năm xưa không đi đâu xa, cô ở đường Xóm Chiếu, Q.4, TP.HCM. Cô là Trầm Thị Ngọc Ánh và đặt tên cô bé mà mình ôm đi trốn biệt là Trầm Như Ngọc Oanh. Bà Ánh đã lỡ làng, hi sinh những mối duyên riêng chỉ để dành tình thương cho đứa con duy nhất là Ngọc Oanh - Thương Thương. Năm 2016, trước khi mất bà mới tiết lộ câu chuyện thật có liên quan đến mẹ nuôi Kim Cương. Chị Oanh hiện đã có chồng, 2 con, chị buôn bán đồ ăn, còn chồng giao hàng.Biết thân phận mình liên quan đến nghệ sĩ Kim Cương nhưng chị Oanh không rõ hoàn cảnh thật sự như thế nào, không biết ai là mẹ đẻ của mình, lại ngại tìm đến người nổi tiếng nên vẫn trù trừ.Giây phút khi chương trình dẫn chị Oanh lên sân khấu gặp lại nghệ sĩ Kim Cương, 2 mẹ con đã không cầm được nước mắt. Nghệ sĩ Kim Cương ôm chặt cô con gái thất lạc, bà nghẹn ngào: ""Sao con không đi tìm má… Mẹ con mình gặp nhau rồi, giờ tui không buông, không cho ai nữa đâu!"".Bà đã gọi con trai ruột lên nhận em gái. Bà vỗ về con gái Thương Thương: ""Má nghe nói con tủi vì không biết cha mẹ ruột. Nhưng con phải biết là mình có phước vì có tới ba bà mẹ, mỗi người một hoàn cảnh riêng nhưng đều rất thương yêu con!"".",01/03/2021 23:42 GMT+7
"Giập tay, gãy chân vì khoan cục sắt tròn to như quả đạn cối","TTO - Sau tiếng nổ lớn, người đàn ông bị giập nát bàn tay trái và cẳng chân trái. Người nhà cho hay nạn nhân khoan ""cục sắt tròn"", to như nắm tay. Cơ quan chức năng nghi là đạn cối.","Vào khoảng 14h ngày 1-3, người dân ở bản Hồng Lếch Cang, xã Thanh Chăn (huyện Điện Biên, tỉnh Điện Biên) nghe một tiếng nổ lớn. Chạy đến hiện trường thì thấy anh Lò Văn Tiên (sinh năm 1960) nằm bất tỉnh trong vườn cây, chung quanh bê bết máu. Hiện trường khét lẹt mùi thuốc nổ.Bàn tay trái của nạn nhân bị giập nát, mất nhiều ngón tay, cẳng chân trái bị gãy, giập, mất nhiều máu. Dân bản nhanh chóng đưa nạn nhân đi cấp cứu và báo cơ quan chức năng.Người nhà anh Tiên cho hay, trước khi xảy ra vụ việc, họ thấy anh Tiên mang cục sắt to bằng nắm tay vào vườn cây. ""Lúc tôi chuẩn bị đi làm thì thấy Tiên mang một quả sắt tròn, to như nắm tay vào vườn. Sau đó tôi có nghe thấy tiếng nổ, rồi hàng xóm báo Tiên bị tai nạn. Chúng tôi chỉ kịp gọi xe đi cấp cứu, không biết có phải cục sắt kia nổ không?"" - một người dân cho hay.Bác sĩ Bệnh viện Đa khoa tỉnh Điện Biên cho hay nạn nhân nhập viện trong tình trạng đa chấn thương, tiếp xúc kém, chậm, huyết áp có chiều hướng giảm. Ngay sau khi nhập viện, nạn nhân nhanh chóng được đội ngũ các y, bác sĩ mổ cấp cứu.Hiện cơ quan chức năng đang tiếp tục điều tra vụ việc.",01/03/2021 23:37 GMT+7
Dân mạng Trung Quốc nói 'nhớ ông Trump rất nhiều',"TTO - Trong ngày tái xuất, cựu tổng thống Donald Trump tiếp tục dùng cụm ""virus Trung Quốc"" để gọi COVID-19. Theo dõi bài phát biểu của ông Trump, dân mạng Trung Quốc nói ""nhớ ông rất nhiều"", ""không có ông không còn vui nữa"".","Hôm 28-2, cựu tổng thống Mỹ Donald Trump đã có màn xuất hiện công khai đầu tiên kể từ khi rời Nhà Trắng, khi ông phát biểu tại Hội nghị hành động chính trị bảo thủ (CPAC) 2021. Tại đây, ông hỏi đám đông: ""Các bạn nhớ tôi chưa?"".Câu hỏi này nhanh chóng gây sốt trên mạng xã hội của Trung Quốc, được nhiều trang tin tô đậm gây chú ý. Theo tờ Thời báo Hoàn Cầu, một số người dùng mạng nước này theo dõi đoạn video phát biểu của ông Trump đã bình luận ngay.Thời báo Hoàn Cầu dẫn lại một số bình luận: ""Chúng tôi nhớ ông rất nhiều, đồng chí Kiến Quốc (biệt danh của ông Trump ở Trung Quốc). Chúng tôi không được xem bất kỳ thứ gì vui vẻ như ông mang lại kể từ lúc ông rời Nhà Trắng"", ""Ít nhất truyền thông nhớ ông rất nhiều. Không có ông, tin tức chính trị không còn vui nữa"".Đáp lại câu hỏi của ông Trump ""Các bạn nhớ tôi chưa?"", nhiều người dùng mạng xã hội Weibo bình luận dưới bài đăng của trang guancha.cn trên Weibo: ""Nhớ muốn chết!"", ""Rất nhớ ông! Trước đây mỗi lần xem tin tức mới liên quan ông đều rất vui"", ""Nói thật, tôi vẫn rất nhớ ông""...Tuy nhiên, cũng có tài khoản Weibo bình luận ""nhớ hay không không cần thiết"". Có người dùng còn đùa rằng: ""Nếu ông Trump quay trở lại, người Mỹ sẽ chịu cơn đau đầu lớn hơn chúng ta (Trung Quốc) nhiều"".Trong bài phát biểu trên, ông Trump một lần nữa gọi đại dịch COVID-19 - với những ca nhiễm đầu tiên trên thế giới được ghi nhận ở thành phố Vũ Hán - là ""virus Trung Quốc"". Ông gọi Trung Quốc là ""mối đe dọa kinh tế to lớn"" đối với Mỹ, theo báo South China Morning Post.",01/03/2021 23:35 GMT+7
Nhật yêu cầu Trung Quốc ngừng xét nghiệm COVID-19 qua... hậu môn,"TTO - Nhật Bản đã yêu cầu Trung Quốc dừng lấy mẫu xét nghiệm COVID-19 từ hậu môn đối với công dân Nhật vì theo họ cách làm này gây ra ""nỗi đau tâm lý"".","Ngày 1-3, Chánh văn phòng Nội các Nhật Bản Kato Katsunobu nói rằng chính phủ nước này vẫn chưa nhận được phản hồi từ Trung Quốc về việc thay đổi quy trình xét nghiệm COVID-19 qua hậu môn. Do đó, Nhật Bản sẽ tiếp tục yêu cầu Trung Quốc thay đổi cách xét nghiệm này, theo Hãng tin Reuters.""Một số công dân Nhật Bản nói với đại sứ quán chúng tôi ở Trung Quốc rằng họ đã phải lấy mẫu xét nghiệm từ hậu môn, gây ra nỗi đau tâm lý nặng nề"" - ông Kato Katsunobu cho biết trong cuộc họp báo tại thủ đô Tokyo.Ông nói rằng hiện không rõ bao nhiêu công dân Nhật Bản đã trải qua cách xét nghiệm COVID-19 như vậy. Theo Hãng tin Kyodo, nhiều nhân viên người Nhật ở Bắc Kinh đã chỉ trích việc lấy mẫu xét nghiệm từ hậu môn, cho rằng cách làm này có thể vi phạm quyền con người và ảnh hưởng phẩm cách của họ.Tháng trước, sau khi có thông tin các nhà ngoại giao Mỹ tại Trung Quốc bị yêu cầu lấy mẫu xét nghiệm COVID-19 từ hậu môn, người phát ngôn Bộ Ngoại giao Trung Quốc Triệu Lập Kiên lên tiếng khẳng định chưa bao giờ yêu cầu các nhà ngoại giao Mỹ làm như vậy.Hồi cuối tháng 1, truyền thông Trung Quốc cho biết nước này đã bắt đầu sử dụng phương pháp lấy dịch hậu môn để xét nghiệm những người mà họ cho rằng có nguy cơ cao mắc COVID-19. Theo Hãng tin Reuters, trong hình thức xét nghiệm này, người ta sẽ đưa một que thử cotton dài từ 3-5cm vào trong hậu môn và xoay que thử quanh một cách nhẹ nhàng.Một số thành phố Trung Quốc đã sử dụng mẫu xét nghiệm lấy từ hậu môn để phát hiện ca nhiễm. Theo Hãng tin Bloomberg, cách xét nghiệm này không phải là chính sách áp dụng rộng rãi toàn quốc, nhưng đang được dùng ngày càng nhiều với người dân, từ học sinh cho tới hành khách đến thủ đô Bắc Kinh.Bác sĩ Lý Động Tăng, phó chủ nhiệm khoa bệnh truyền nhiễm của Bệnh viện Hựu An ở Bắc Kinh, cho biết phương pháp lấy dịch hậu môn có thể tăng tỉ lệ phát hiện các ca nhiễm vì dấu vết của virus tồn tại trong hậu môn lâu hơn trong đường thở.",01/03/2021 23:34 GMT+7
Bộ Công an khởi tố giám đốc và nguyên giám đốc Sở Y tế Cần Thơ,"TTO - Ông Cao Minh Chu, giám đốc Sở Y tế Cần Thơ và bà Bùi Thị Lệ Phi, nguyên giám đốc Sở Y tế Cần Thơ, bị Cơ quan cảnh sát điều tra Bộ Công an khởi tố do sai phạm trong đấu thầu.","Tối 1-3, thiếu tướng Tô Ân Xô, chánh văn phòng, người phát ngôn Bộ Công an, cho biết bị can Cao Minh Chu, giám đốc Sở Y tế Cần Thơ và Bùi Thị Lệ Phi, nguyên giám đốc Sở Y tế Cần Thơ, cùng 9 lãnh đạo công ty, đơn vị thẩm định giá vật tư, thiết bị y tế... đã bị khởi tố, một số người bị bắt tạm giam, vì có sai phạm trong đấu thầu gây thiệt hại nghiêm trọng cho tài sản của Nhà nước.Theo đó, bị can Cao Minh Chu và 4 người khác gồm Hồ Phương Quỳnh, nguyên nhân viên Ban quản lý dự án Sở Y tế Cần Thơ; Nguyễn Duy Hùng, nguyên nhân viên Công ty cổ phần thẩm định giá BTC Value; Nguyễn Quốc Việt, nguyên thẩm định viên Công ty cổ phần thẩm định giá BTC Value; Tạ Trường Xuân, nguyên nhân viên Công ty liên doanh TNHH tư vấn y tế Mediconsult Việt Nam, bị Cơ quan cảnh sát điều tra Bộ Công an khởi tố (cho tại ngoại) về hành vi vi phạm quy định về đấu thầu gây hậu quả nghiêm trọng theo điều 222 Bộ luật hình sự.Cùng tội danh trên, nhưng bà Bùi Thị Lệ Phi và 5 người khác bị bắt tạm giam, gồm: Hoàng Thị Thúy Nga, nguyên chủ tịch hội đồng sáng lập Tập đoàn Hành trình thành công mới (NSJ Group), Lê Huy Bình, nguyên phó tổng giám đốc NSJ Group, Lương Tấn Thành, nguyên nhân viên ban quản lý dự án Sở Y tế Cần Thơ; Đoàn Thị Nở, nguyên trưởng phòng dự án Công ty TNHH công nghệ cao LTQ (trước là Công ty NSJ); Lê Thành Hưng, nguyên nhân viên kinh doanh của NSJ.Theo Bộ Công an, nguyên giám đốc Sở Y tế Cần Thơ Bùi Thị Lệ Phi và các bị can trên đã có hành vi không công bằng, minh bạch trong đấu thầu gây thiệt hại nghiêm trọng cho tài sản của Nhà nước.",01/03/2021 22:42 GMT+7
Cựu tổng thống Pháp Sarkozy bị tuyên 3 năm tù vì tội tham nhũng,"TTO - Cựu tổng thống Nicolas Sarkozy là nguyên thủ quốc gia thứ hai trong lịch sử Pháp hiện đại bị kết tội tham nhũng. Tuy nhiên, ông nói với tòa rằng bản thân ""chưa bao giờ phạm phải hành động tham nhũng dù là nhẹ nhất"".","Ngày 1-3, cựu tổng thống Pháp Nicolas Sarkozy đã bị tuyên án tù 3 năm, trong đó có 2 năm hưởng án treo, vì tội danh tham nhũng và sử dụng ảnh hưởng của mình để thu lợi trong thời gian tại nhiệm, theo Đài CNN.Lãnh đạo nước Pháp từ năm 2007 tới 2012, ông bị cáo buộc hối lộ thẩm phán Gilbert Azibert để đổi lấy thông tin nội bộ về cuộc điều tra liên quan tới cáo buộc ông đã nhận các khoản thanh toán bất hợp pháp từ Liliane Bettencourt, người thừa kế Tập đoàn L'Oreal, trong chiến dịch tranh cử tổng thống năm 2007.Ông Sarkozy đã bác bỏ bất kỳ sai phạm nào. Vị cựu tổng thống Pháp nói rằng ông là nạn nhân của một ""cuộc săn phù thủy"" của các công tố viên tài chính.Ông Sarkozy là cựu tổng thống thứ hai trong lịch sử Pháp hiện đại, sau ông Jacques Chirac (đã qua đời năm 2019), bị kết tội tham nhũng.Mặc dù rời khỏi chính trường nhưng ông Sarkozy vẫn còn có ảnh hưởng với các nhân vật phe bảo thủ. Vị cựu tổng thống Pháp có 10 ngày để kháng cáo phán quyết của tòa án.Tuy nhiên, theo Hãng tin Reuters, có thể ông Sarkozy sẽ không phải ở trong tù. Ngoài 2 năm hưởng án treo của ông, một thẩm phán cho biết bà sẽ cho phép ông được gắn vòng tay điện tử để giám sát bên ngoài nhà tù trong 1 năm tù còn lại. ",01/03/2021 22:11 GMT+7
"Kim Xuân, Ái Như, Thu Trang, Tiến Luật... lan tỏa thông điệp 'cùng góp vắc xin COVID-19'","TTO - Nhiều nghệ sĩ đã bày tỏ sự ủng hộ với chương trình góp vắc xin chống lại đại dịch COVID-19, trong đó có chương trình 'Cùng Tuổi Trẻ góp vắc xin COVID-19'.","* NSND Kim Xuân: Khi chúng tôi kêu gọi, mọi người ủng hộ liềnNghệ sĩ Kim Xuân cho biết khi nghe thông tin về chương trình ý nghĩa này, CLB Nữ nghệ sĩ do chị làm phó chủ nhiệm đã cùng phát động và hiện thu được một số tiền kha khá để có thể đóng góp, chung tay cùng Chính phủ. Chị cho biết: ""Khi chúng tôi kêu gọi, đăng Facebook là mọi người ủng hộ liền. Vì ai cũng biết đây là chương trình quá tốt. Làm sao cho toàn thể dân mình ai cũng có được sự phòng ngừa để ngăn chặn dịch bệnh COVID-19 ghê gớm này. Với người nghèo, nếu bảo tự túc có lẽ họ sẽ không có khả năng. Vì vậy, mọi người cùng chung tay như một sự tiếp sức hết sức cần thiết"". Bên cạnh những hồ hởi trong cuộc vận động, nghệ sĩ Kim Xuân cũng bày tỏ mối quan tâm của chị: ""Khi biết nước mình sắp có chương trình tiêm vắc xin tôi mừng lắm, nhưng bên cạnh đó vẫn có những lo lắng. Bởi vắc xin hiện tại nhiều nước sản xuất và WHO cũng chưa xác nhận loại nào là tốt nhất. Virus bệnh này ngày càng tinh vi với những biến thể, vắc xin có thể hiệu nghiệm loại này nhưng loại kia thì không biết như thế nào. Tôi mong rằng Nhà nước cố gắng lắng nghe, tìm hiểu thật kỹ để chọn được loại thuốc tốt, hiệu quả cho dân mình. Hi vọng mọi điều sẽ tốt đẹp"".* Nghệ sĩ Ái Như: Tùy theo khả năng mà chúng ta có sự chia sẻ với Nhà nướcNghệ sĩ Ái Như cho biết dịch bệnh kéo dài từ năm ngoái đến năm nay khiến cuộc sống đảo lộn, người dân lo lắng. Vì vậy khi thông tin Nhà nước sắp thực hiện tiêm chủng toàn dân khiến mọi người vui mừng và cuộc vận động để góp vắc xin COVID-19 là một cuộc vận động được nhiều người quan tâm.""Chúng tôi cảm thấy biết ơn Chính phủ, biết ơn tập thể y bác sĩ, những người ở tuyến đầu đã tận tâm, tận lực để giữ Việt Nam được như hôm nay. Anh chị em nghệ sĩ ở sân khấu Hoàng Thái Thanh cũng bảo nhau đóng góp, chung tay cho chương trình ý nghĩa này. Tùy theo khả năng mà chúng ta có sự chia sẻ với Nhà nước để nhanh chóng đẩy lùi dịch bệnh"" - Ái Như bày tỏ.* Vợ chồng nghệ sĩ Tiến Luật - Thu Trang: Hết sức ủng hộ hoạt động ý nghĩa nàyVợ chồng nghệ sĩ Tiến Luật - Thu Trang cho biết: ""Vợ chồng tôi đã đọc thông tin này trên báo Tuổi Trẻ và hết sức ủng hộ hoạt động ý nghĩa này. Chúng tôi đang bận việc ở Đà Lạt và dự tính vài ngày nữa sẽ đến quý báo để đóng góp.Phải nói là nghe tin Việt Nam sắp được tiêm vắc xin chúng tôi hết sức mừng vui. Nhà nước gồng mình chống chọi dịch bệnh hơn một năm qua hẳn đã mệt mỏi. Lại thêm việc tiêm chủng cho toàn dân là bài toán kinh phí rất khó khăn. Vì vậy tôi cho rằng vận động toàn dân cùng chung tay hết sức hợp lý. Tùy theo khả năng, người có điều kiện có thể gánh giúp 2, 3 người, cứ như vậy chúng ta dìu nhau qua hết giai đoạn khó khăn này.Có thể nói hơn một năm qua, chứng kiến những gì Chính phủ đã làm, chúng tôi hoàn toàn tự hào về hai tiếng Việt Nam. Trong đại dịch toàn cầu, nhiều nước gần như ngưng trệ mà chúng ta vẫn còn đi lại được, còn làm việc được - đó là may mắn quá lớn. Chúng ta còn đang nghiên cứu vắc xin ngừa COVID-19, nghĩa là sẽ có vắc xin mang nhãn hiệu của đất nước mình. Với những việc làm ý nghĩa đó, mỗi chúng ta hãy cùng chung tay để lan tỏa những điều tốt đẹp, làm nên sức mạnh để Việt Nam chiến thắng dịch bệnh"".",01/03/2021 22:00 GMT+7
Báo Tuổi Trẻ trao danh hiệu 'Bạn đồng hành quanh tôi' cho anh Mạnh,"TTO - Tối 1-3, báo Tuổi Trẻ đã trao danh hiệu 'Bạn đồng hành quanh tôi' cho anh Nguyễn Ngọc Mạnh (xã Vĩnh Ngọc, huyện Đông Anh, TP Hà Nội), thanh niên cứu bé gái 3 tuổi gây xúc động và tạo sự lan tỏa mạnh mẽ.","""Bạn đồng hành quanh tôi"" là danh hiệu nhiều ý nghĩa của báo Tuổi Trẻ nhằm tôn vinh những cá nhân, tập thể có nhiều nỗ lực phụng sự xã hội và dấn thân vì cộng đồng. Trước hành động đầy dũng cảm cứu bé gái 3 tuổi của anh Nguyễn Ngọc Mạnh, báo Tuổi Trẻ đã trao một phần quà cùng chứng nhận danh hiệu 'Bạn đồng hành quanh tôi' cho anh để lan tỏa ý nghĩa tích cực, đặc biệt đối với các bạn trẻ. Mặc dù vậy, anh Mạnh tỏ ra đắn đo khi cầm số tiền mà báo Tuổi Trẻ trao tặng cho anh. Đại diện báo Tuổi Trẻ chia sẻ đây là phần quà dành tặng những người nhận danh hiệu ""Bạn đồng hành quanh tôi"", anh có thể dùng để làm việc thiện, giúp đỡ những người khó khăn, tiếp tục lan tỏa tinh thần hiệp sĩ.Bất chấp cơn mưa xuân lạnh của Hà Nội, nhiều người thân, hàng xóm đã đến nhà anh Mạnh. Những nụ cười, những lời chia vui... khiến ngôi nhà nhỏ của anh rộn ràng hẳn lên. Đến tận tối muộn, tiếng những em nhỏ vẫn tíu tít trong nhà kể với nhau câu chuyện chú Mạnh ""siêu nhân"", chú Mạnh ""áo choàng đỏ""... khiến người lớn vui lây. Cuối ngày, bữa tiệc liên hoan nhỏ tại gia đình đã vãn nhưng ý nghĩa về việc quên mình cứu người, dũng cảm trước khó khăn sẽ còn là câu chuyện được nhắc nhớ mãi.
",01/03/2021 21:54 GMT+7
"Hà Nội: Đề xuất trường ĐH, CĐ đi học trở lại từ 15-3, không dồn vào cùng một thời điểm","TTO - Phó chủ tịch UBND TP Hà Nội Chử Xuân Dũng đề nghị lịch đi học trở lại của sinh viên các trường cao đẳng, đại học do Bộ Giáo dục - đào tạo quản lý sẽ bắt đầu từ ngày 15-3 và không tập trung vào cùng một thời điểm.","Chiều 1-3, tại cuộc họp của Ban Chỉ đạo phòng chống dịch COVID-19 TP Hà Nội với các quận, huyện, phường xã, ông Chử Xuân Dũng, phó chủ tịch UBND TP Hà Nội, cho biết đối với sinh viên các trường cao đẳng, đại học thuộc Bộ Giáo dục - đào tạo quản lý, TP đã có báo cáo, trao đổi với bộ về việc phân mốc thời gian quay lại học tập để không dồn vào cùng một thời điểm.Với lịch học của học sinh, sinh viên các trường do Sở Lao động - thương binh và xã hội quản lý sẽ phải có giải pháp quyết liệt trong khai báo y tế, nắm chắc số lượng sinh viên, học viên trở lại từ vùng có dịch.Theo ông Dũng, sinh viên có khả năng học trực tuyến, tại thời điểm này có thể tiếp tục duy trì học trực tuyến. Mặc dù bộ có chỉ đạo các trường tự chủ về mặt thời gian, nhưng TP đề nghị Bộ Giáo dục - đào tạo có định hướng về lịch học trở lại sau ngày 8-3 để không dồn vào một thời điểm.""Chúng tôi đề nghị lịch học trở lại của sinh viên các trường cao đẳng, đại học do bộ quản lý từ ngày 15-3"" - ông Dũng nói.  Cũng tại cuộc họp, ông Nguyễn Hồng Dân, phó giám đốc Sở Lao động - thương binh và xã hội Hà Nội, cho biết đã triển khai các biện pháp để từ ngày 8-3 học viên, sinh viên các trường thuộc sở này quản lý đi học trở lại.Theo đó, với các trường, cơ sở giáo dục nghề nghiệp, sở đã yêu cầu thực hiện phun khử khuẩn, đồng thời yêu cầu tất cả học viên đến các trường nghề phải được đo thân nhiệt, nếu có dấu hiệu bất thường thì phải phân loại, bố trí phòng cách ly ngay tại cổng trường.""Học sinh, sinh viên phải đeo khẩu trang thường xuyên, đây là các biện pháp để sinh viên, học viên đến trường vào ngày 8-3 tới. Còn các học viên, sinh viên ngoại tỉnh đến từ các vùng có dịch phải có xác nhận xét nghiệm SARS-CoV-2 âm tính và khai báo y tế với chính quyền nơi cư trú và các cơ sở giáo dục trên địa bàn"" - ông Dân nói.",01/03/2021 21:42 GMT+7
Cuộc sống mới hơn cả mơ của 'người nhện đen' cứu sống cháu bé 4 tuổi,"TTO - Hơn 2 năm sau khi leo lên 4 tầng lầu cứu một đứa trẻ suýt rơi từ lan can ở Paris (Pháp), cuộc đời của chàng thanh niên nhập cư người Mali đã thay đổi hơn cả mơ."," Mamadou Gassama là tên trên giấy tờ ""công dân Pháp"" của Mamoudou (như cách bạn bè, người thân ở Mali vẫn gọi anh), vẫn giữ nét hồn hậu, chân thật của một thanh niên nông dân bên Mali. Vì thế giờ đây khi tiếp xúc với những người mới, anh vẫn thường đi cùng ""mẹ đỡ đầu"" Djeneba Keita là phó thị trưởng thành phố Montreuil ở ngoại ô Paris.Đấy là nơi Mamadou đã sinh sống khi đặt chân đến nước Pháp vào cuối năm 2017. Đến tháng 5-2018, anh đã cứu sống đứa bé 4 tuổi đu lơ lửng trên bancông tầng 4 một tòa nhà ở phía bắc Paris. Đó là buổi chiều tối định mệnh 26-5-2018 đối với cuộc đời đầy gian truân của chàng trai nhập cư lậu không giấy tờ 22 tuổi.""Tôi chạy. Tôi băng qua đường để cứu thằng bé. Tôi không nghĩ gì hết. Tôi cứ leo thẳng lên... Khi đã bắt đầu rồi, tôi được tiếp thêm can đảm để leo. Chúa cũng giúp tôi nữa. Ơn trời tôi cứu được đứa bé"" - Mamadou kể lại khoảnh khắc đó cho Tổng thống Emmanuel Macron khi được ông mời đến Điện Elysée hai ngày sau đó.Đoạn phim quay cảnh cứu người phi thường của Mamadou diễn ra trong vòng chỉ 30 giây đã thu hút hàng triệu lượt xem trên mạng xã hội và nhanh chóng được chia sẻ khắp thế giới. Nhiều người gọi anh là ""người nhện đen"", ""người nhện châu Phi"", anh hùng... với sự cảm phục và biết ơn.Sau cuộc gặp với Tổng thống Macron, Mamadou được cấp quốc tịch Pháp như một cách nước Pháp thể hiện lòng biết ơn với hành động quả cảm của anh. Đó là sự đặc cách thay vì phải 5 năm ở Pháp mới được xét quốc tịch.""Hành động đầy quả cảm đó là ví dụ minh chứng tiêu biểu cho việc một số giá trị góp phần nối kết các thành viên trong cộng đồng quốc gia như lòng can đảm, sự xả thân, lòng vị tha, sự chú tâm đến những trường hợp đang nguy kịch"". Đó là những lời lẽ giải thích trong quyết định công nhận nhập tịch cho Mamadou do Thủ tướng Pháp Édouard Philippe đặt bút ký.Mamadou bỗng chốc trở thành một biểu tượng ở Pháp, một niềm hi vọng cho người nhập cư. Các đơn vị truyền thông săn đón đến mức chính quyền Montreuil phải đưa anh từ nơi ở là một khu tạm cư cho người nhập cư đến một khách sạn.Sau đó, Mamadou được tổng thống Mali mời về quê nhà và được tiếp đón như anh hùng quốc gia. Anh được gặp lại cha ruột sau nhiều năm rời quê nhà lên đường tìm miền đất hứa ở châu Âu.Mamadou còn được mời sang Bờ Biển Ngà là nơi anh từng có thời gian lưu trú trên con đường đi tìm ngõ sang châu Âu.Cũng trong năm 2018, chàng trai chưa từng được đi học ở quê nhà Mali còn được tặng giải thưởng BET Awards của kênh truyền hình Black Entertainment Television (BET) trong hạng mục ""Anh hùng nhân đạo"" vì hành động dũng cảm tại Los Angeles (Mỹ), vốn tôn vinh hằng năm những người da màu có đóng góp cho cộng đồng.Sau những giải thưởng và tôn vinh, Mamadou còn được chính quyền Montreuil cưu mang, cho đi học tiếng Pháp để nhanh chóng hòa nhập, được học nghề và thực tập với đội cứu hỏa, cứu hộ của Paris trong 10 tháng.Đến nay, anh vẫn mơ ước trở thành nhân viên cứu hộ - giấc mơ anh đang tạm dừng vì phải chữa bệnh liên quan đến máu mắc phải.Trong thời gian này, anh chuẩn bị cho một cuốn sách kể về cuộc đời anh, một thiếu niên rời nhà khi 15 tuổi, đi qua Burkina, Niger, Libya rồi từ đó vượt biển vào Ý. Anh cũng nói mong ước học tiếng Pháp thật tốt và sau này sẽ mở một hiệp hội giúp đỡ những người nhập cư. Anh muốn nối dài giấc mơ có thật của đời mình.",01/03/2021 20:56 GMT+7
